"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsWT"
"TSPAN6",1.17424781085983e-08,-0.728780012511104,0.505060530764674,0.165105492248388,"DE (down) in MLH1"
"TNMD",NA,-2.03977528779318,NA,2.50642614291053,"Not DE"
"DPM1",0.0332084981754048,-0.215682784979238,0.994116180364746,-0.00305533040386998,"DE (down) in MLH1"
"SCYL3",0.995336578580908,0.00190288100332739,0.617712250080288,-0.177226943127034,"Not DE"
"FIRRM",0.00073837078546204,0.394939779931178,0.868587573651707,0.059531075027391,"DE (up) in MLH1"
"FGR",NA,NA,NA,0.437669205233408,"Not DE"
"CFH",0.552625922954068,0.131248769472287,0.821601718217806,0.0804868873405139,"Not DE"
"FUCA2",3.45129440853061e-16,0.62009095492039,0.534396862571078,-0.111789417350839,"DE (up) in MLH1"
"GCLC",3.4567067907386e-06,0.780394029438365,0.994913890808023,0.00451085982030312,"DE (up) in MLH1"
"NFYA",1.17698556801677e-11,-0.615647758263243,0.0131059624295951,-0.35339207424357,"DE (down) in both"
"STPG1",0.00902586102364587,-0.400795402600613,0.353800085656908,-0.199718015461627,"DE (down) in MLH1"
"NIPAL3",1.77546400384306e-15,-0.598114403969004,0.19787615920634,-0.154682637119397,"DE (down) in MLH1"
"LAS1L",0.103136564335477,-0.183652810326935,0.97297689471239,0.0135950356791604,"Not DE"
"ENPP4",2.10330028721422e-12,0.673968287290522,0.799404129739649,-0.0776349239718052,"DE (up) in MLH1"
"SEMA3F",0.0162751246176828,0.663535430661991,3.86079051528888e-05,1.1256654168475,"DE (up) in both"
"CFTR",NA,-2.62641370384114,NA,3.70582605208457,"Not DE"
"ANKIB1",0.502565669051756,-0.133338633177969,0.892923871319633,-0.040438596843579,"Not DE"
"CYP51A1",0.0152322768577744,0.19697828876785,0.00398540976821503,0.318671089673187,"DE (up) in both"
"KRIT1",0.220892096442027,-0.290370723039339,0.213387954925298,-0.2588900519435,"Not DE"
"RAD52",0.768528391242495,-0.108417458334189,0.893230754884435,-0.0733836611110231,"Not DE"
"MYH16",0.52264781812877,-1.84854973894459,NA,-0.859552952505731,"Not DE"
"BAD",0.167770286030674,0.281551306729951,0.871362418536329,-0.0643763081040624,"Not DE"
"LAP3",1.43227947044641e-11,0.583531797360761,0.934992273782421,0.0262295368948302,"DE (up) in MLH1"
"CD99",0.0624472812655668,0.272792057021351,0.607313722229313,0.113974310969427,"Not DE"
"HS3ST1",0.392405547124506,-0.338042992812702,0.565760240750379,-0.327737186790724,"Not DE"
"AOC1",NA,-1.10607685769562,NA,-0.814047889434527,"Not DE"
"WNT16",NA,NA,NA,3.37040008141253,"Not DE"
